,Unnamed: 0,상품명,가격,이미지,카테고리,색상,사이즈,재질,디자인
0,0,"버킹검 패브릭 맞춤침대프레임 SS,Q,K,SK,LK,GK,EK,CK","1,420,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163238099144876753.jpg?w=360&h=360&c=c&q=50,침대,레드,200cm x 100cm x 50cm,목재,심플
1,1,"아무르 가죽침대 트윈베드 SS+SS, SS+Q, Q+Q, 맞춤사이즈","3,020,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159047321495846541.jpg?w=360&h=360&c=c&q=50,침대,레드,180cm x 90cm x 50cm,금속,클래식
2,2,오세페SALE 럭셔리벨라 LED 투매트리스 침대(Q/K)+매트리스 선택,"579,900",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166720384839625721.jpg?w=360&h=360&c=c&q=50,침대,레드,190cm x 110cm x 50cm,플라스틱,모던
3,3,"버킹검 패브릭 트윈 침대프레임 SS+SS, SS+Q, Q+Q, 맞춤사이즈","2,460,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168509188556965592.jpg?w=360&h=360&c=c&q=50,침대,레드,210cm x 120cm x 50cm,아크릴,빈티지
4,4,"프라다 가죽 모던침대프레임 SS,Q,K,SK,LK,GK,EK,CK,맞춤사이즈","1,400,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/169096364588698115.jpg?w=360&h=360&c=c&q=50,침대,레드,200cm x 110cm x 50cm,유리,컨템포러리
5,5,"에비앙 프리미엄 부부침대 호텔식 높은 프레임 SS+SS, SS+Q, Q+Q","2,942,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/167818045267554228.jpg?w=360&h=360&c=c&q=50,침대,레드,190cm x 100cm x 50cm,합성목재,심플
6,6,"미켈란 프리미엄 트윈 패브릭 침대 / 협탁1ea 세트 SS+SS, SS+Q, Q+Q","3,049,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163187126042431502.jpg?w=360&h=360&c=c&q=50,침대,레드,180cm x 100cm x 50cm,대나무,클래식
7,7,"아무르 가죽 신혼침대프레임 SS,Q,K,LK,GK,EK,CK,맞춤사이즈","1,820,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168568321547895322.jpg?w=360&h=360&c=c&q=50,침대,레드,200cm x 120cm x 50cm,코팅철재,모던
8,8,고강도 스틸 1인용 솔리드 슈퍼싱글 침대 SS 3color,"249,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/168611737112741073.jpg?w=360&h=360&c=c&q=50,침대,오렌지,210cm x 110cm x 50cm,스테인레스,빈티지
9,9,"버킹검 패브릭 맞춤침대프레임 SS,Q,K,SK,LK,GK,EK,CK","1,420,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163238099144876753.jpg?w=360&h=360&c=c&q=50,침대,오렌지,190cm x 120cm x 50cm,세라믹,컨템포러리
10,10,"아무르 가죽침대 트윈베드 SS+SS, SS+Q, Q+Q, 맞춤사이즈","3,020,000",https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159047321495846541.jpg?w=360&h=360&c=c&q=50,침대,오렌지,200cm x 110cm x 50cm,목재,심플
11,11,"크라운 가죽 소파베드 침대프레임 SS,Q,K,LK,GK,EK,CK,맞춤사이즈","2,150,000",https://prs.ohou.se/apne2/any/uploads/productions/v1-214972394586112.jpg?w=360&h=360&c=c&q=50,침대,오렌지,180cm x 90cm x 50cm,금속,클래식
